License Issue Date,License Number,Animal's Name,Species,Primary Breed,Secondary Breed,ZIP Code
October 27 2013,833294,Alby,Cat,Domestic Longhair,,98121
November 27 2013,904079,Doozy,Dog,German Shepherd,Siberian Husky,98199
December 02 2013,951799,Max,Dog,Retriever; Labrador,,98125
September 03 2013,442764,Piper,Dog,Australian Shepherd,,98109
August 12 2013,70486,Tommy,Dog,Poodle; Miniature,Pomeranian,98117
November 26 2013,723448,Lola,Dog,Retriever; Labrador,,98115
August 09 2013,204950,Quincy,Cat,Ragdoll,,98177
August 06 2013,959471,Sylvie,Dog,Poodle; Standard,,98115
September 05 2013,357404,Geiser,Dog,Xoloitzcuintli,,98102
October 26 2013,278036,Macy,Cat,Domestic Shorthair,,98116
October 29 2013,904018,Molly,Dog,Poodle; Miniature,Mix,98105
August 16 2013,282167,Zoe,Dog,German Shepherd,Mix, 
September 23 2013,585049,Crow,Dog,Chow Chow,Mix,98101
December 30 2013,904383,Lola,Dog,Chihuahua; Short Coat,,98178
September 16 2013,215651,Filson,Dog,Retriever; Labrador,,98115
December 09 2013,280967,Mattie,Dog,Retriever; Labrador,,98136
November 27 2013,901923,Alanis,Dog,Retriever; Labrador,,98107
September 09 2013,283194,Finnegan,Dog,Terrier; Airedale,Irish Wolfhound,98112
September 23 2013,22633,Brie,Cat,American Shorthair,,98115
September 15 2013,946011,Bethany,Dog,Great Dane,Retriever; Labrador,98108
September 28 2012,722638,Pete,Dog,Australian Cattle Dog,,98125
December 29 2012,25863,Spencer,Dog,Retriever; Golden,Poodle; Standard,98107
October 20 2012,831391,Diana,Dog,Terrier; American Pit Bull,,98109
August 30 2012,584062,Cooper,Dog,Chihuahua; Short Coat,,98105
October 15 2012,820181,Midnight,Dog,Chihuahua; Short Coat,,98118
December 01 2012,893696,Fancy,Dog,Maltese,,98122
October 15 2012,820182,Blackie,Dog,Retriever; Labrador,Mix,98118
November 25 2012,899061,Jake,Dog,Retriever; Labrador,, 
December 07 2012,900322,Blue,Cat,Domestic Shorthair,,98105
August 31 2012,578859,Grey Fox,Cat,Siamese,Mix,98125
April 12 2013,14923,Sally,Dog,Terrier; Rat,,98103
June 26 2013,338793,Wyle,Dog,Whippet,,98126
April 05 2013,214090,Scout,Dog,Dachshund; Standard Smooth Haired,,98164
April 17 2013,204619,Zuma,Cat,Domestic Shorthair,,98199
May 17 2013,276549,Jack,Cat,Domestic Medium Hair,,98118
June 10 2013,122955,Milo,Cat,Domestic Shorthair,Mix,98103
June 04 2013,203616,Suki,Cat,Domestic Shorthair,,98107
April 12 2013,209553,Dotti,Dog,Terrier; Rat,,98103
